user_id,course_id,rating
U1,C1802,3.8
U1,C1191,3.8
U1,C1818,4.3
U1,C252,4.6
U1,C2506,4.3
U1,C1118,4.6
U1,C1412,4.4
U1,C2114,4.9
U1,C409,3.5
U1,C2580,4.6
U1,C2255,4.7
U1,C53,5.0
U1,C645,4.9
U1,C1764,5.0
U1,C2777,4.3
U1,C901,5.0
U1,C1074,4.5
U1,C473,5.0
U1,C2739,4.3
U1,C2547,3.4
U1,C45,4.9
U1,C290,3.4
U1,C913,4.2
U1,C2084,3.8
U1,C1361,5.0
U1,C2896,3.8
U1,C2604,4.8
U1,C1227,4.3
U1,C297,4.1
U1,C1242,5.0
U1,C1006,4.2
U1,C1666,4.6
U1,C747,4.1
U1,C2852,4.1
U1,C292,4.1
U1,C782,4.0
U1,C2145,4.8
U1,C323,4.6
U1,C299,3.6
U1,C1299,4.2
U1,C195,4.8
U1,C64,3.3
U1,C394,3.7
U1,C728,4.7
U1,C1584,3.8
U1,C1548,3.7
U1,C2426,3.5
U1,C15,3.7
U1,C2568,4.3
U1,C1601,4.8
U1,C1091,5.0
U1,C2112,4.3
U1,C204,3.6
U1,C2419,3.9
U1,C153,3.6
U1,C2902,3.3
U1,C1360,4.9
U1,C773,4.0
U1,C2679,3.8
U1,C1002,3.0
U1,C719,4.6
U1,C613,3.7
U1,C843,3.7
U1,C267,4.6
U1,C52,3.4
U1,C1196,4.1
U1,C1271,5.0
U1,C1492,3.4
U1,C1583,2.7
U1,C522,3.1
U1,C1695,5.0
U1,C2664,4.2
U1,C2749,4.8
U1,C1922,3.7
U1,C103,3.8
U1,C696,5.0
U1,C2333,3.8
U1,C2725,3.7
U1,C2273,3.6
U1,C2483,3.5
U1,C1843,4.1
U1,C1831,4.1
U1,C795,4.5
U1,C1821,4.8
U1,C2002,4.7
U1,C145,4.3
U1,C2526,4.0
U1,C1331,3.5
U1,C2478,5.0
U1,C2882,4.6
U1,C322,4.2
U1,C1262,5.0
U1,C2415,4.9
U1,C1270,3.1
U1,C1761,5.0
U1,C417,3.8
U1,C2632,4.2
U1,C2292,4.5
U1,C175,4.0
U1,C1726,4.3
U1,C2176,4.6
U2,C2026,4.7
U2,C1060,4.6
U2,C81,4.1
U2,C723,4.3
U2,C1394,4.3
U2,C1245,5.0
U2,C1920,4.6
U2,C2906,3.7
U2,C2883,4.4
U2,C1286,3.6
U2,C1358,4.5
U2,C2168,4.7
U2,C1815,3.8
U2,C2031,4.8
U2,C2005,4.8
U2,C199,4.5
U2,C318,4.6
U2,C1586,4.0
U2,C2349,4.7
U2,C2904,3.8
U2,C2605,4.1
U2,C2624,5.0
U2,C2582,5.0
U2,C2181,4.8
U2,C1497,4.9
U2,C1647,4.0
U2,C2217,5.0
U2,C1930,5.0
U2,C379,4.7
U2,C744,5.0
U2,C1254,3.8
U2,C2050,4.7
U2,C2966,4.6
U2,C605,4.8
U2,C2433,4.2
U2,C2397,4.4
U2,C846,3.9
U2,C2153,4.0
U2,C234,4.0
U2,C297,4.2
U2,C2,3.5
U2,C2224,4.5
U2,C1884,3.7
U2,C641,4.1
U2,C2158,5.0
U2,C1101,4.9
U2,C2586,3.9
U2,C1296,4.2
U2,C600,4.5
U2,C1922,3.8
U2,C2963,3.5
U2,C469,5.0
U2,C1744,4.9
U2,C2036,5.0
U2,C1222,4.4
U2,C2269,4.9
U2,C2822,5.0
U2,C1132,3.0
U2,C2809,5.0
U2,C770,3.5
U2,C1658,4.9
U2,C1085,4.4
U2,C2448,3.9
U2,C2003,4.3
U2,C2628,3.8
U2,C617,4.9
U2,C2276,3.4
U2,C1255,3.4
U3,C2024,4.4
U3,C2000,5.0
U3,C2077,4.5
U3,C2420,5.0
U3,C1682,4.6
U3,C706,3.6
U3,C953,4.1
U3,C885,3.9
U3,C1329,4.7
U3,C1480,4.6
U3,C2842,3.6
U3,C1437,3.7
U3,C2593,3.5
U3,C424,4.0
U3,C2884,5.0
U3,C721,4.6
U3,C2054,4.7
U3,C2840,5.0
U3,C1693,4.2
